number,time/s
1,2.087
2,0.993
3,0.998
4,0.99
5,1.005
6,0.98
7,1.0
8,0.991
9,0.983
10,0.999
11,0.987
12,0.995
13,0.98
14,1.008
15,0.981
16,1.0
17,0.984
18,1.005
19,0.978
20,0.996
21,0.984
number,time/s
1,1.791
2,0.997
3,0.992
4,0.996
5,0.991
6,1.002
7,0.985
8,0.993
9,0.99
10,1.001
11,0.984
12,0.998
13,0.986
14,0.995
15,0.983
16,0.998
17,0.989
18,1.0
19,0.981
20,0.995
21,0.982
number,time/s
1,2.973
2,0.996
3,0.991
4,0.998
5,0.996
6,0.989
7,1.0
8,0.986
9,1.002
10,0.978
11,0.998
12,0.988
13,1.001
14,0.979
15,1.003
16,0.981
17,0.996
18,0.985
19,1.003
20,0.978
21,1.002
number,time/s
1,2.489
2,0.995
3,0.995
4,0.989
5,0.988
6,0.99
7,0.995
8,0.98
9,1.003
10,0.98
11,1.0
12,0.988
13,1.001
14,0.984
15,1.006
16,0.968
17,1.012
18,0.969
19,1.025
20,0.956
21,1.015
number,time/s
1,0.353
2,0.989
3,1.0
4,0.985
5,1.008
6,0.988
7,1.002
8,0.984
9,1.002
10,0.979
11,1.009
12,0.982
13,0.993
14,0.989
15,1.018
16,0.978
17,0.995
18,0.983
19,1.001
20,0.98
21,1.015
number,time/s
1,1.613
2,0.986
3,1.005
4,0.979
5,1.008
6,0.979
7,1.005
8,0.978
9,0.997
10,0.984
11,1.002
12,0.98
13,1.001
14,0.98
15,1.018
16,0.974
17,0.993
18,0.987
19,0.997
20,0.975
21,0.999
number,time/s
1,1.737
2,0.99
3,0.998
4,0.983
5,1.004
6,0.98
7,0.994
8,0.987
9,0.999
10,0.989
11,0.994
12,0.985
13,1.006
14,0.978
15,1.015
16,0.97
17,1.001
18,0.985
19,0.996
20,0.997
21,0.985
number,time/s
1,1.516
2,0.982
3,0.998
4,0.99
5,0.998
6,0.988
7,0.999
8,0.987
9,0.996
10,0.99
11,1.0
12,0.966
13,1.006
14,0.983
15,0.996
16,0.975
17,1.0
18,0.98
19,1.008
20,0.977
21,1.009
number,time/s
1,1.769
2,0.99
3,1.001
4,0.986
5,1.008
6,0.98
7,1.001
8,0.984
9,1.005
10,0.98
11,1.003
12,0.974
13,1.008
14,0.977
15,1.008
16,0.976
17,1.002
18,0.988
19,0.994
20,0.979
21,1.01
number,time/s
1,1.862
2,0.984
3,0.999
4,0.984
5,1.004
6,0.988
7,1.006
8,0.981
9,1.0
10,0.985
11,1.012
12,0.968
13,1.008
14,0.988
15,0.998
16,0.981
17,1.0
18,0.977
19,1.007
20,0.974
21,1.008
number,time/s
1,2.252
2,0.993
3,0.99
4,0.997
5,0.998
6,0.988
7,0.993
8,0.99
9,0.997
10,0.984
11,1.003
12,0.982
13,0.988
14,0.997
15,0.989
16,0.992
17,0.985
18,0.996
19,0.99
20,0.991
21,0.982
number,time/s
1,3.001
2,0.992
3,0.992
4,0.989
5,0.994
6,0.993
7,0.998
8,0.993
9,0.998
10,0.992
11,0.99
12,0.998
13,0.987
14,0.99
15,0.994
16,0.988
17,0.984
18,0.986
19,0.988
20,0.987
21,1.009
number,time/s
1,1.791
2,0.991
3,1.005
4,0.988
5,0.998
6,0.988
7,1.002
8,0.989
9,0.993
10,0.993
11,0.984
12,0.994
13,0.998
14,0.979
15,0.998
16,0.998
17,0.978
18,0.972
19,0.031
20,0.991
21,0.983
number,time/s
1,2.109
2,0.998
3,0.993
4,0.995
5,0.987
6,0.998
7,0.991
8,0.998
9,0.988
10,0.998
11,0.989
12,0.998
13,0.994
14,0.991
15,0.988
16,0.996
17,0.989
18,0.99
19,0.993
20,0.992
21,0.998
number,time/s
1,4.071
2,0.989
3,0.992
4,0.99
5,0.992
6,0.999
7,0.985
8,0.991
9,0.998
10,0.993
11,0.99
12,0.988
13,1.003
14,0.982
15,0.998
16,0.987
17,0.996
18,0.994
19,0.991
20,0.994
21,0.982
number,time/s
1,1.817
2,0.991
3,0.992
4,0.99
5,0.998
6,0.991
7,0.988
8,0.991
9,0.99
10,0.994
11,0.997
12,0.992
13,0.991
14,0.985
15,0.985
16,0.993
17,0.994
18,0.997
19,0.983
20,0.989
21,0.991
number,time/s
1,1.439
2,0.998
3,0.995
4,0.985
5,1.002
6,0.981
7,0.99
8,0.998
9,0.996
10,0.986
11,0.993
12,0.988
13,1.0
14,0.982
15,0.991
16,0.989
17,1.0
18,0.98
19,0.998
20,0.985
21,0.995
number,time/s
1,2.308
2,0.989
3,0.995
4,0.996
5,0.988
6,0.996
7,0.996
8,0.998
9,0.998
10,0.992
11,0.992
12,0.988
13,0.996
14,0.989
15,0.994
16,0.988
17,0.992
18,0.993
19,0.997
20,0.988
21,0.996
number,time/s
1,3.087
2,0.993
3,0.993
4,0.99
5,0.998
6,0.987
7,0.997
8,0.986
9,1.008
10,0.991
11,0.993
12,0.985
13,0.992
14,0.993
15,0.991
16,0.986
17,0.993
18,0.988
19,0.987
20,1.001
21,0.98
number,time/s
1,2.317
2,0.99
3,0.997
4,0.991
5,0.995
6,0.989
7,0.999
8,0.989
9,0.993
10,0.997
11,0.988
12,0.989
13,0.996
14,0.987
15,0.992
16,0.999
17,0.986
18,0.989
19,0.988
20,0.99
21,0.999
number,time/s
1,2.223
2,0.991
3,0.992
4,0.994
5,0.991
6,0.995
7,0.995
8,0.988
9,0.992
10,0.994
11,0.988
12,0.991
13,0.991
14,0.992
15,0.999
16,0.981
17,0.996
18,0.987
19,0.992
20,0.998
21,0.99
