number,time/s,,
1,3.262,,
2,1.003,,
3,1.002,,
4,1.003,,30
5,1.002,,
6,0.997,,
7,0.998,,
8,1.001,,
9,0.997,,
10,0.999,,
11,0.993,,
12,0.998,,
13,0.993,,
14,0.994,,
15,0.996,,
16,0.998,,
17,0.994,,
18,0.991,,
19,0.993,,
20,1,,
21,0.983,,
number,time/s,,
1,10.067,,
2,1.037,,
3,1.031,,
4,1.025,,
5,1.021,,60
6,1.018,,
7,1.011,,
8,1.012,,
9,1.008,,
10,1.008,,
11,1.008,,
12,1.007,,
13,1,,
14,1.003,,
15,0.997,,
16,1.003,,
17,0.998,,
18,1.001,,
19,0.995,,
20,1.001,,
21,0.991,,
number,time/s,,
1,6.093,,
2,1.016,,
3,1.012,,
4,1.011,,
5,1.008,,
6,1.004,,
7,1.003,,
8,1.007,,
9,1.001,,
10,1,,45
11,0.999,,
12,1.008,,
13,0.997,,
14,0.999,,
15,1.008,,
16,0.994,,
17,0.993,,
18,0.996,,
19,0.998,,
20,0.998,,
21,0.992,,
number,time/s,,
1,5.978,,
2,0.991,,
3,0.978,,
4,0.995,,
5,0.99,,
6,0.989,,
7,1.004,,
8,0.97,,
9,0.997,,
10,0.984,,6
11,0.999,,
12,0.981,,
13,1.002,,
14,0.978,,
15,1.006,,
16,0.988,,
17,0.985,,
18,0.988,,
19,0.987,,
20,0.992,,
21,0.988,,
